uuid,headline,description,instruction,location,sending_agency,time,url,event
48cee591-c00a-41b2-b3d8-21a8950d15bd,Dust Storm Warning issued August 2 at 5:37PM MST expiring August 2 at 6:45PM MST by NWS Tucson AZ,"The National Weather Service in Tucson has issued a

* Dust Storm Warning for...
Northeastern Pima County in southeastern Arizona...
Southern Pinal County in southeastern Arizona...

* Until 645 PM MST.

* At 537 PM MST, a wall of dust was along a line extending from
southwest Pinal County to 10 miles south of Eloy to south of
Marana, moving northeast at 25 to 30 mph.

HAZARD...Less than a quarter mile visibility with strong wind in
excess of 40 mph.

SOURCE...Detected by National Weather Service meteorologists.

IMPACT...Dangerous life-threatening travel.

* This includes the following highways...
Interstate 10 between mile markers 206 and 254.
Route 77 between mile markers 72 and 108.
Route 79 between mile markers 92 and 128.
Route 87 between mile markers 116 and 124.

Locations impacted include...
Northwest and west Tucson, Oro Valley, Marana, Eloy, Tortolita, Avra
Valley, Oracle, Flowing Wells, Casas Adobes, Tucson Estates, San
Manuel, Friendly Corners, Saddlebrooke, Dove Mountain, Saguaro
National Park West, Red Rock, Picacho.
","Dust storms lead to dangerous driving conditions with visibility
reduced to near zero. If driving, avoid dust storms if possible. If
caught in one, pull off the road, turn off your lights and keep your
foot off the brake.

Motorists should not drive into a dust storm. PULL ASIDE STAY ALIVE!

",Northeastern Pima County in southeastern Arizona; Southern Pinal County in southeastern Arizona; southwest Pinal County; Eloy; Marana; Interstate 10 between mile markers 206 and 254; Route 77 between mile markers 72 and 108; Route 79 between mile markers 92 and 128; Route 87 between mile markers 116 and 124; Northwest and west Tucson; Oro Valley; Tortolita; Avra Valley; Oracle; Flowing Wells; Casas Adobes; Tucson Estates; San Manuel; Friendly Corners; Saddlebrooke; Dove Mountain; Saguaro National Park West; Red Rock; Picacho,NWS Tucson AZ,645 PM MST,,DustStormWarning
b9cb5ff0-2f98-455d-a3ee-566edb2019a6,Dust Storm Warning issued August 8 at 8:33PM MST expiring August 8 at 9:30PM MST by NWS Phoenix AZ,"The National Weather Service in Phoenix has issued a

* Dust Storm Warning for...
East central Yuma County in southwestern Arizona...
Maricopa County in south central Arizona...
Pinal County in southeastern Arizona...

* Until 930 PM MST.

* At 833 PM MST, a wall of dust was along a line extending from 9
miles north of Sonoran National Monument to 8 miles northeast of
Freeman to 6 miles northwest of Casa Grande, moving south at 35
mph.

HAZARD...Less than a quarter mile visibility with strong wind in
excess of 40 mph.

SOURCE...Doppler radar.

IMPACT...Dangerous life-threatening travel.

* This includes the following highways...
AZ Interstate 8 between mile markers 70 and 170.
AZ Route 238 between mile markers 1 and 30.
AZ Route 85 between mile markers 1 and 30, and between mile markers
119 and 143.

Locations impacted include...
Buckeye, Casa Grande, Gila Bend, Estrella, Sentinel, Big Horn,
Bosque, Cotton Center, Kaka, Freeman, Gila Bend Auxiliary Field,
Sonoran National Monument and Stanfield.
","Dust storms lead to dangerous driving conditions with visibility
reduced to near zero. If driving, avoid dust storms if possible. If
caught in one, pull off the road, turn off your lights and keep your
foot off the brake.

","East central Yuma County in southwestern Arizona; Maricopa County in south central Arizona; Pinal County in southeastern Arizona; Sonoran National Monument; Freeman; Casa Grande; AZ Interstate 8 between mile markers 70 and 170; AZ Route 238 between mile markers 1 and 30; AZ Route 85 between mile markers 1 and 30, and between mile markers 119 and 143; Buckeye; Gila Bend; Estrella; Sentinel; Big Horn; Bosque; Cotton Center; Kaka; Gila Bend Auxiliary Field; Stanfield",NWS Phoenix AZ,August 8 at 9:30PM MST,,DustStormWarning
8ead1cdb-c0f4-47c0-95f7-881151cb2082,BOIL WATER ADVISORY IN EFFECT FOR ALL ROWAN COUNTY UNTIL FURTHER NOTICE,"Due to heavy rains, the water treatment plant is not able to adequately treat the contaminated water to the levels required for drinking water. All drinking water will have to be boiled until the problem can be corrected and testing confirms safe levels.",Boil all drinking water for 3 minutes. Cool the water then place in clean containers for use or refrigerate. ,ROWAN COUNTY,,,,BoilWaterAdvisory
0df4ff23-48fa-4333-9aa3-b5e6dc6b422e,Boil Advisory,"Boil Advisory until 1AM Friday  morning
Use bottled or boiled water for drinking, and to prepare and cook food.
If bottled water is not available, bring water to a full rolling boil for 1 minute (at elevations above 6,500 feet, boil for 3 minutes). After boiling, allow the water to cool before use.
Boil tap water even if it is filtered (for example, by a home water filter or a pitcher that filters water).
Do not use water from any appliance connected to your water line, such as ice and water from a refrigerator.
Breastfeeding is the best infant feeding option. If you formula feed your child, provide ready-to-use formula, if possible.",,,,1AM Friday morning,,BoilWaterAdvisory
e0fb354c-ab94-4ccf-9e5e-df4ad62bae33,Fire Warning,,,,,,,FireWarning
0aed9dbf-734e-4e6c-9b03-3d00154dcccf,,,,,,,,FireWarning
45da61f1-bd95-4e57-bb7b-ae0c5fc625e3,Avalanche Advisory issued January 28 at 3:15PM MST by NWS Denver CO,"THE FOLLOWING MESSAGE IS TRANSMITTED AT THE REQUEST OF THE
COLORADO AVALANCHE INFORMATION CENTER.

...SPECIAL AVALANCHE ADVISORY IN EFFECT FROM 3 PM SATURDAY UNTIL 5
PM MONDAY...

*WHAT...It will be very easy for you to trigger a large and deadly
avalanche in the new storm snow and the avalanche may step down to
buried weak layers at the ground.

*WHERE...Medicine Bow Mountains, Never Summer Mountains, Rocky
Mountain National Park, Indian Peaks Wilderness, James Peak
Wilderness, mountains around Berthoud Pass, and the Flat Top
Mountains.

*WHEN...In effect 3 PM Saturday, January 28 until 5 PM on Monday
January 30.

*IMPACTS...Large and dangerous avalanches will be easy to trigger.

*PRECAUTION/PREPAREDNESS ACTIONS...Travel in backcountry avalanche
terrain requires cautious route finding to stay safe. Avoid travel
across or below slopes with a slope angle greater than about 30
degrees. You can find more detailed information at
colorado.gov/avalanche

Fowler
",,Medicine Bow Mountains; Never Summer Mountains; Rocky Mountain National Park; Indian Peaks Wilderness; James Peak Wilderness; mountains around Berthoud Pass; Flat Top Mountains,NWS Denver CO,5 PM on Monday January 30,colorado.gov/avalanche,AvalancheWarning
88151f46-369b-4bbb-bac7-875a9390c666,Avalanche Advisory issued April 30 at 4:51PM MDT by NWS Denver CO,"THE FOLLOWING MESSAGE IS TRANSMITTED AT THE REQUEST OF THE
COLORADO AVALANCHE INFORMATION CENTER.

THE COLORADO AVALANCHE INFORMATION CENTER HAS ISSUED A SPECIAL
AVALANCHE ADVISORY FOR THE MOUNTAINS OF COLORADO

* TIMING...In effect until 8 PM Sunday, May 3.

* AFFECTED AREAS...Steamboat, Front Range, Vail & Summit County,
Sawatch, Aspen, Gunnison, Grand Mesa, North San Juan, South San
Juan, Sangre de Cristo Zones.

* AVALANCHE DANGER...The avalanche danger is Considerable, level 3
of 5. Large and dangerous human-triggered avalanches are likely.
Large and dangerous natural avalanches are possible and could be
very destructive.

* REASON...Meltwater is weakening the snowpack, and the trend is
deteriorating conditions day over day.","plan trips to start and end early. Avoid traveling across or below
steep slopes with wet and unsupportable snow. Use conservative
decision making, cautious route finding, careful snowpack and
terrain evaluation.

Consult www.colorado.gov/avalanche for detailed information.",MOUNTAINS OF COLORADO; Steamboat; Front Range; Vail & Summit County; Sawatch; Aspen; Gunnison; Grand Mesa; North San Juan; South San Juan; Sangre de Cristo Zones,NWS Denver CO,"8 PM Sunday, May 3",,AvalancheWarning
83033a03-a4c2-40a0-9f53-8b3723efb28b,Hurricane Warning issued October 8 at 5:42PM EDT by NWS Tallahassee FL,"A Hurricane Warning means hurricane-force winds are expected
somewhere within this area within the next 36 hours

* LOCATIONS AFFECTED
- Bonifay
- Ponce De Leon

* WIND
- LATEST LOCAL FORECAST: Equivalent Tropical Storm force wind
- Peak Wind Forecast: 35-45 mph with gusts to 65 mph
- Window for Tropical Storm force winds: Wednesday morning
until early Thursday morning

- POTENTIAL THREAT TO LIFE AND PROPERTY: Potential for wind
greater than 110 mph
- The wind threat has increased from the previous assessment.
- PLAN: Plan for extreme wind of equivalent CAT 3 hurricane
force or higher due to possible forecast changes in track,
size, or intensity.
- PREPARE: Efforts to protect life and property should now be
underway. Prepare for catastrophic wind damage.
- ACT: Act now to complete preparations before the wind
becomes hazardous.

- POTENTIAL IMPACTS: Devastating to Catastrophic
- Structural damage to sturdy buildings, some with complete
roof and wall failures. Complete destruction of mobile
homes. Damage greatly accentuated by large airborne
projectiles. Locations may be uninhabitable for weeks or
months.
- Numerous large trees snapped or uprooted along with fences
and roadway signs blown over.
- Many roads impassable from large debris, and more within
urban or heavily wooded places. Many bridges, causeways,
and access routes impassable.
- Widespread power and communications outages.

* FLOODING RAIN
- LATEST LOCAL FORECAST:
- Peak Rainfall Amounts: Additional 2-4 inches, with locally
higher amounts

- POTENTIAL THREAT TO LIFE AND PROPERTY: Potential for localized
flooding rain
- The flooding rain threat has remained nearly steady from
the previous assessment.
- PLAN: Emergency plans should include the potential for
localized flooding from heavy rain.
- PREPARE: Consider protective actions if you are in an area
vulnerable to flooding.
- ACT: Heed any flood watches and warnings.

- POTENTIAL IMPACTS: Limited
- Localized rainfall flooding may prompt a few evacuations.
- Rivers and tributaries may quickly rise with swifter
currents. Small streams, creeks, and ditches may become
swollen and overflow in spots.
- Flood waters can enter a few structures, especially in
usually vulnerable spots. A few places where rapid ponding
of water occurs at underpasses, low-lying spots, and poor
drainage areas. Several storm drains and retention ponds
become near-full and begin to overflow. Some brief road and
bridge closures.

* TORNADO
- LATEST LOCAL FORECAST:
- Situation is unfavorable for tornadoes

- POTENTIAL THREAT TO LIFE AND PROPERTY: Tornadoes not expected
- The tornado threat has remained nearly steady from the
previous assessment.
- PLAN: Tornadoes are not expected. Showers and thunderstorms
with gusty winds may still occur.
- PREPARE: Little to no preparations needed to protect
against tornadoes at this time. Keep informed of the latest
tornado situation.
- ACT: Listen for changes in the forecast.

- POTENTIAL IMPACTS: Little to None
- Little to no potential impacts from tornadoes.

* FOR MORE INFORMATION:
- Local Weather Conditions and Forecasts: NWS Tallahassee
- https://www.weather.gov/tallahassee
- Information from the Florida Division of Emergency Management
- https://www.floridadisaster.org
","

",Bonifay; Ponce De Leon,NWS Tallahassee FL,early Thursday morning,https://www.weather.gov/tallahassee; https://www.floridadisaster.org,HurricaneWarning
a52e08b7-7c58-4fed-9000-f364cd624ec4,Hurricane Warning issued September 3 at 4:41PM CDT by NWS Mobile AL,"..TROPICAL STORM WARNINGS REMAIN IN EFFECT OVER THE NORTHWEST
FLORIDA PANHANDLE COAST...
The National Weather Service in Mobile has issued a Hurricane
Warning. The Tropical Storm Warning is no longer in effect. The
Hurricane Watch is no longer in effect.

* WINDS...East to southeast winds increasing to 35 to 45 knots
Tuesday afternoon, then 45 to 55 knots overnight. Hurricane
conditions possible.

* WAVES/SEAS...Waves building to 3 to 4 feet. Seas building to 20
to 25 feet over the open Gulf waters Tuesday afternoon into
Tuesday night.
","A Tropical Storm Warning means sustained winds of 34 to 63 kt are
expected due to a tropical storm within 36 hours.

A Hurricane Watch is issued when sustained winds of 64 kts or
74 mph or higher associated with a hurricane are possible within
48 hours.

A Hurricane Warning means sustained winds of 64 kts or 74 mph
or higher associated with a hurricane are expected within 36
hours. A Hurricane Warning can remain in effect when dangerously
high water or a combination of dangerously high water and
exceptionally high waves continue, even though winds may be less
than hurricane force.

",,NWS Mobile AL,,,HurricaneWarning
